route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
0,2,510926439,Englewood,,2,1316572,,
0,3,510926461,Englewood,,2,1316572,,
0,2,510926574,Union Station,,6,1316568,,
0,1,510926606,Union Station,,3,1316568,,
0,3,510926607,Union Station,,5,1316568,,
0,2,510926719,Englewood,,7,1316572,,
0,1,510926774,Englewood,,9,1316572,,
0,3,510926794,Englewood,,9,1316572,,
0,2,510926899,Union Station,,3,1316568,,
0,3,510926939,Union Station,,3,1316568,,
0,1,510926940,Union Station,,8,1316568,,
0,2,510927065,Englewood,,9,1316572,,
0,1,510927105,Englewood,,7,1316572,,
0,3,510927129,Englewood,,8,1316572,,
0,2,510927263,Union Station,,8,1316568,,
0,1,510927296,Union Station,,6,1316568,,
0,3,510927297,Union Station,,6,1316568,,
0,2,510927407,Englewood,,4,1316572,,
0,1,510927468,Englewood,,4,1316572,,
0,3,510927488,Englewood,,4,1316572,,
0,2,510927606,Union Station,,2,1316568,,
0,1,510927641,Union Station,,2,1316568,,
0,3,510927642,Union Station,,2,1316568,,
0,2,510927765,Englewood,,5,1316572,,
0,1,510927803,Englewood,,1,1316572,,
0,3,510927825,Englewood,,7,1316572,,
0,2,510927946,Union Station,,7,1316568,,
0,1,510927975,Union Station,,9,1316568,,
0,3,510927976,Union Station,,9,1316568,,
0,2,510928093,Englewood,,1,1316572,,
0,1,510928138,Englewood,,5,1316572,,
0,3,510928157,Englewood,,1,1316572,,
0,2,510928280,Union Station,,9,1316568,,
0,1,510928316,Union Station,,7,1316568,,
0,3,510928317,Union Station,,8,1316568,,
0,2,510928447,Englewood,,6,1316572,,
0,1,510928487,Englewood,,3,1316572,,
0,3,510928509,Englewood,,5,1316572,,
0,2,510928640,Union Station,,4,1316568,,
0,1,510928672,Union Station,,4,1316568,,
0,3,510928673,Union Station,,4,1316568,,
0,2,510928787,Englewood,,3,1316572,,
0,1,510928842,Englewood,,8,1316572,,
0,3,510928863,Englewood,,3,1316572,,
0,2,510928979,Union Station,,5,1316568,,
0,1,510929012,Union Station,,1,1316568,,
0,3,510929013,Union Station,,7,1316568,,
0,2,510929142,Englewood,,8,1316572,,
0,1,510929174,Englewood,,6,1316572,,
0,3,510929195,Englewood,,6,1316572,,
0,2,510929327,Union Station,,1,1316568,,
0,1,510929341,Union Station,,5,1316568,,
0,3,510929379,Union Station,,1,1316568,,
0,1,510929459,Englewood,,2,1316572,,
0,2,510929509,Englewood,,2,1316572,,
0,3,510929510,Englewood,,2,1316572,,
0,2,510929668,Union Station,,6,1316568,,
0,1,510929682,Union Station,,3,1316568,,
0,3,510929732,Union Station,,5,1316568,,
0,1,510929817,Englewood,,9,1316572,,
0,2,510929862,Englewood,,7,1316572,,
0,3,510929863,Englewood,,9,1316572,,
0,2,510930030,Union Station,,3,1316568,,
0,1,510930083,Union Station,,8,1316568,,
0,3,510930107,Union Station,,3,1316568,,
0,1,510930204,Englewood,,7,1316572,,
0,3,510930205,Englewood,,8,1316572,,
0,2,510930206,Englewood,,9,1316572,,
0,2,510930362,Union Station,,8,1316568,,
0,1,510930416,Union Station,,6,1316568,,
0,3,510930436,Union Station,,6,1316568,,
0,1,510930500,Englewood,,4,1316572,,
0,3,510930501,Englewood,,4,1316572,,
0,2,510930537,Englewood,,4,1316572,,
0,2,510930691,Union Station,,2,1316568,,
0,1,510930741,Union Station,,2,1316568,,
0,3,510930768,Union Station,,2,1316568,,
0,1,510930822,Englewood,,1,1316572,,
0,3,510930823,Englewood,,7,1316572,,
0,2,510930866,Englewood,,5,1316572,,
0,2,510931010,Union Station,,7,1316568,,
0,1,510931060,Union Station,,9,1316568,,
0,3,510931078,Union Station,,9,1316568,,
0,3,510931144,Englewood,,1,1316572,,
0,1,510931145,Englewood,,5,1316572,,
0,2,510931179,Englewood,,1,1316572,,
0,2,510931340,Union Station,,9,1316568,,
0,1,510931378,Union Station,,7,1316568,,
0,3,510931399,Union Station,,8,1316568,,
0,1,510931444,Englewood,,3,1316572,,
0,3,510931445,Englewood,,5,1316572,,
0,2,510931498,Englewood,,6,1316572,,
0,2,510931620,Union Station,,4,1316568,,
0,1,510931671,Union Station,,4,1316568,,
0,3,510931685,Union Station,,4,1316568,,
0,3,510931752,Englewood,,3,1316572,,
0,1,510931753,Englewood,,8,1316572,,
0,2,510931778,Englewood,,3,1316572,,
0,2,510931939,Union Station,,5,1316568,,
0,1,510931958,Union Station,,1,1316568,,
0,3,510931959,Union Station,,7,1316568,,
0,1,510932002,Englewood,,6,1316572,,
0,3,510932003,Englewood,,6,1316572,,
0,2,510932078,Englewood,,8,1316572,,
0,2,510932212,Union Station,,1,1316570,,
0,3,510932223,Union Station,,1,1316568,,
0,1,510932224,Union Station,,5,1316568,,
0,3,510932283,Englewood,,2,1316572,,
0,1,510932284,Englewood,,2,1316572,,
0,2,510932334,Englewood,,2,1316572,,
0,2,510932501,Union Station,,6,1316568,,
0,3,510932523,Union Station,,5,1316568,,
0,1,510932540,Union Station,,3,1316568,,
0,1,510932549,Englewood,,9,1316572,,
0,3,510932550,Englewood,,9,1316572,,
0,2,510932614,Englewood,,7,1316572,,
0,2,510932740,Union Station,,3,1316570,,
0,3,510932781,Union Station,,3,1316568,,
0,1,510932788,Union Station,,8,1316568,,
0,1,510932812,Englewood,,7,1316572,,
0,3,510932813,Englewood,,8,1316572,,
0,2,510932857,Englewood,,9,1316572,,
0,2,510932977,Union Station,,8,1316568,,
0,2,510932997,Englewood,,4,1316572,,
0,3,510933005,Englewood,,4,1316572,,
0,3,510933006,Union Station,,6,1316568,,
0,1,510933022,Union Station,,2,1316568,,
0,1,510933023,Englewood,,4,1316572,,
0,2,510933198,Union Station,,2,1316568,,
0,2,510933207,Englewood,,5,1316572,,
0,3,510933231,Englewood,,7,1316572,,
0,1,510933239,Englewood,,1,1316572,,
0,3,510933240,Union Station,,9,1316568,,
0,1,510933264,Union Station,,9,1316568,,
0,3,510933447,Englewood,,1,1316572,,
0,1,510933464,Englewood,,5,1316572,,
0,3,510933465,Union Station,,8,1316568,,
0,1,510933511,Union Station,,7,1316568,,
0,2,510933638,Union Station,,4,1316568,,
0,2,510933644,Englewood,,6,1316572,,
0,3,510933669,Englewood,,5,1316572,,
0,1,510933677,Englewood,,3,1316572,,
0,3,510933678,Union Station,,4,1316568,,
0,1,510933698,Union Station,,4,1316568,,
0,3,510933854,Englewood,,3,1316572,,
0,1,510933871,Englewood,,8,1316572,,
0,3,510933882,Union Station,,7,1316568,,
0,1,510933916,Union Station,,1,1316568,,
0,2,510934046,Union Station,,5,1316568,,
0,2,510934047,Englewood,,8,1316572,,
0,3,510934068,Englewood,,6,1316572,,
0,1,510934082,Englewood,,2,1316572,,
0,3,510934109,Union Station,,1,1316568,,
0,1,510934110,Union Station,,5,1316568,,
0,3,510934267,Englewood,,9,1316572,,
0,1,510934284,Englewood,,9,1316572,,
0,3,510934321,Union Station,,5,1316568,,
0,1,510934337,Union Station,,3,1316568,,
0,2,510934445,Englewood,,2,1316572,,
0,2,510934446,Union Station,,6,1316568,,
0,3,510934468,Englewood,,8,1316572,,
0,1,510934478,Englewood,,7,1316572,,
0,3,510934516,Union Station,,3,1316568,,
0,1,510934517,Union Station,,8,1316568,,
0,3,510934628,Englewood,,4,1316572,,
0,1,510934642,Englewood,,4,1316572,,
0,3,510934673,Union Station,,6,1316568,,
0,1,510934681,Union Station,,2,1316568,,
0,2,510934790,Englewood,,4,1316572,,
0,2,510934791,Union Station,,8,1316568,,
